link,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10
https://ar.shein.com/SHEIN-Belle-One-Shoulder-Ruched-Split-Thigh-Bridesmaid-Dress-p-11506808-cat-3091.html,img.ltwebstatic.com/images3_pi/2022/09/19/1663551706c3f60ac17f360fd0fd69ca7269010491.jpg,img.ltwebstatic.com/images3_pi/2022/09/19/1663551708fadacb5c779d26969f32b8f657c07f75.jpg,img.ltwebstatic.com/images3_pi/2022/09/19/1663551711e3cbeb00dc37be74d4ca4d4ea72ac4f1.jpg,img.ltwebstatic.com/images3_pi/2022/09/19/16635517123b042f5f79897434755527fd395c7734.jpg,img.ltwebstatic.com/images3_pi/2022/09/19/166355171497423ca00dbbf0077927d5230066f4fb.jpg,img.ltwebstatic.com/images3_pi/2022/09/19/166355171921ecd776674bfd70a1d77b3889660c0b.jpg,,,,
https://ar.shein.com/SHEIN-Clasi-Asymmetrical-Neck-Ruched-Top-Pants-p-15590247-cat-1780.html,img.ltwebstatic.com/images3_pi/2023/05/04/1683165272560c89c4f3ed73cdd362b6b630a8f0a6.jpg,img.ltwebstatic.com/images3_pi/2023/05/04/1683165274ad11adf226cc145d5874793f205ba0f0.jpg,img.ltwebstatic.com/images3_pi/2023/05/04/16831652790c256560001fda09b639e03e9c88450d.jpg,img.ltwebstatic.com/images3_pi/2023/05/04/1683165282f6eadd866561ec6a72f26202a9aec289.jpg,img.ltwebstatic.com/images3_pi/2023/05/04/1683165287186cdc9d8c244df2ee053346c180ef39.jpg,,,,,
https://ar.shein.com/SHEIN-Clasi-Plus-Ruched-Asymmetrical-Hem-Dress-p-17374272-cat-1889.html,img.ltwebstatic.com/images3_pi/2023/06/15/1686796488402c03668ae84743274b4dc9a4126320.jpg,img.ltwebstatic.com/images3_pi/2023/06/15/1686796491e9c9455ab11b6802924c2eeb04815d33.jpg,img.ltwebstatic.com/images3_pi/2023/06/15/16867964858a4ef409a7171d762207309b50105170.jpg,img.ltwebstatic.com/images3_pi/2023/06/15/1686796497e4ca208ea588bc5be4fa83f158a193e9.jpg,img.ltwebstatic.com/images3_pi/2023/06/15/1686796500047d929af0e874041d821339d30f407b.jpg,,,,,
https://ar.shein.com/SHEIN-Daily-Casual-Slant-Pocket-Wrap-Waist-Sports-Pants-p-13857509-cat-2189.html?_t=1692519751991,img.ltwebstatic.com/images3_pi/2023/03/15/1678849033feec9efb0271ea725e74030d88e8b777.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/1678849034e74533a100cf0c2d3f649cd26304dbd7.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/16788490359b54153cf06892c1d7f18fa5c395aa90.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/1678849036d97f4ac44b4e510abe242e60cad6000a.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/16788490374840a5124d17afe46db90598c5ee646a.jpg,,,,,
https://ar.shein.com/SHEIN-Tall-Solid-Wide-Leg-Cami-Jumpsuit-p-17062355-cat-1860.html,img.ltwebstatic.com/images3_pi/2023/06/01/16855878228d13a2e722cff96610fe5f5d48b23968.jpg,img.ltwebstatic.com/images3_pi/2023/06/01/1685587825257b2b2c78a800cc3d8d0c20b0817e23.jpg,img.ltwebstatic.com/images3_pi/2023/06/01/1685587828176370f727f85cc28621fdcfa4b0b7ff.jpg,img.ltwebstatic.com/images3_pi/2023/06/01/1685587830e0f3058ca228feea59b18af56bef747d.jpg,,,,,,
https://ar.shein.com/Floral-Print-Knot-Front-PJ-Set-p-13863691-cat-1880.html,img.ltwebstatic.com/images3_pi/2023/03/15/1678843062ddb125861b72a78e765150e50400a379.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/167884306306338d23e619fdc7b47a1dc90a577029.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/167884306511b1a873da7648bc2f736c7b3a417158.jpg,img.ltwebstatic.com/images3_pi/2023/03/15/16788430674bce9a97858553104cc6ae666a6b6b07.jpg,,,,,,
https://ar.shein.com/SHEIN-Clasi-Surplice-Neck-Ruffle-Trim-Bodycon-Dress-p-13952809-cat-1727.html,img.ltwebstatic.com/images3_pi/2023/03/18/1679108786c4a478fd54f51769d01fb5e0158a9174.jpg,img.ltwebstatic.com/images3_pi/2023/03/18/16791087892cb6157212bd799c83e890b8e8a34f2e.jpg,img.ltwebstatic.com/images3_pi/2023/03/18/1679108791413a5b6811db8b7b7abcdb9fdabaf6e6.jpg,img.ltwebstatic.com/images3_pi/2023/03/18/167910879354b809c8117320b501c79eb1498aff5f.jpg,,,,,,
https://ar.shein.com/SHEIN-Clasi-Plus-Surplice-Neck-Butterfly-Sleeve-Bodycon-Dress-p-10494261-cat-1889.html,img.ltwebstatic.com/images3_pi/2022/05/07/165190191974680f7e3e676641d3228b46d1032826.jpg,img.ltwebstatic.com/images3_pi/2022/05/07/1651901922f6ed50ae09d4a4d8b4937668452160cf.jpg,img.ltwebstatic.com/images3_pi/2022/05/07/165190192464e7db7af081bcc00bbe3f0533716abc.jpg,img.ltwebstatic.com/images3_pi/2022/05/07/165190192740e4b44c1ed2b4513fc45c63be5e9f7c.jpg,,,,,,
https://ar.shein.com/SHEIN-Modely-Asymmetrical-Neck-Ruched-Bodycon-Dress-p-18375765-cat-1727.html,img.ltwebstatic.com/images3_pi/2023/06/27/16878437680c790624b267f056bb578e9b96a2d684.jpg,img.ltwebstatic.com/images3_pi/2023/06/27/168784377061bed95ca53f653155a9f9a6200c88aa.jpg,img.ltwebstatic.com/images3_pi/2023/06/27/1687843773d1d4910d2e9a876c12f1b139e3ce856f.jpg,img.ltwebstatic.com/images3_pi/2023/06/27/16878437752afa99711677944ad65c405ee075e5d3.jpg,img.ltwebstatic.com/images3_pi/2023/06/27/1687843777e361939a53444104ee218a6161138f8b.jpg,img.ltwebstatic.com/images3_pi/2023/06/27/16878437801d54f750f79647a2edaddcabe7cbaeaa.jpg,,,,
https://ar.shein.com/SHEIN-Modely-Off-Shoulder-Ruffle-Trim-Colorblock-Bodycon-Dress-p-15331440-cat-1727.html,img.ltwebstatic.com/images3_pi/2023/04/27/16825605118ea669dd795cc6441448175bc048c68d.jpg,img.ltwebstatic.com/images3_pi/2023/04/27/168256051311ad6e7acf551e32b360f40cce56140b.jpg,img.ltwebstatic.com/images3_pi/2023/04/27/16825605163faeee12c9b1fb7726baa14877f47aa2.jpg,img.ltwebstatic.com/images3_pi/2023/04/27/1682560520edd476f069d14e49e2418ef2864ddef1.jpg,img.ltwebstatic.com/images3_pi/2023/04/27/168256052347dfb0ac2e8ea539c6e99c79474f1d48.jpg,,,,,
